ds	nj	model	tlim	Sec	Obj
AA	30	DARP1	5	5.006	31156.641
AA	30	DARP2	5	5.005	31190.362
AA	30	DARP3	5	5.009	31174.254
AA	35	DARP1	5	5.008	31356.594
AA	35	DARP2	5	5.003	31332.955
AA	35	DARP3	5	5.004	31317.342
AA	40	DARP1	5	5.02	nfs
AA	40	DARP2	5	5.023	31728.169
AA	40	DARP3	5	5.01	31537.904
AA	45	DARP1	5	5.02	41772.987
AA	45	DARP2	5	5.002	41792.035000001
AA	45	DARP3	5	5.011	41886.192
AA	50	DARP1	5	5.028	41987.930000001
AA	50	DARP2	5	5.014	41961.427000001
AA	50	DARP3	5	5.027	41837.948
AA	55	DARP1	5	5.002	42180.369
AA	55	DARP2	5	5.041	42263.157000001
AA	55	DARP3	5	5.062	42263.157
AA	60	DARP1	5	5.005	nfs
AA	60	DARP2	5	5.072	42443.093000001
AA	60	DARP3	5	5.017	42281.771000001
AA	65	DARP1	5	5.025	nfs
AA	65	DARP2	5	5.027	nfs
AA	65	DARP3	5	5.073	42516.127000001
AA	70	DARP1	5	5.02	52715.899000002
AA	70	DARP2	5	5.007	52680.637000002
AA	70	DARP3	5	5.017	52626.933
AA	75	DARP1	5	5.014	52911.129000002
AA	75	DARP2	5	5.037	52794.507000002
AA	75	DARP3	5	5.036	52742.740000001
BB	30	DARP1	5	5.011	31141.24
BB	30	DARP2	5	5.01	31139.184
BB	30	DARP3	5	5.019	31215.327
BB	35	DARP1	5	5.018	31299.59
BB	35	DARP2	5	5.006	31309.746
BB	35	DARP3	5	5.016	31309.746
BB	40	DARP1	5	5.045	31627.427
BB	40	DARP2	5	5.04	31557.256
BB	40	DARP3	5	5.006	31552.337
BB	45	DARP1	5	5.009	41674.391000001
BB	45	DARP2	5	5.072	41715.839000001
BB	45	DARP3	5	5.004	41612.2
BB	50	DARP1	5	5.014	41832.541000001
BB	50	DARP2	5	5.023	41833.502000001
BB	50	DARP3	5	5.015	41819.382
BB	55	DARP1	5	5.026	52162.63
BB	55	DARP2	5	5.033	52066.447000001
BB	55	DARP3	5	5.017	52070.734
BB	60	DARP1	5	5.018	nfs
BB	60	DARP2	5	5.02	62592.134
BB	60	DARP3	5	5.034	62589.494000001
BB	65	DARP1	5	5.059	nfs
BB	65	DARP2	5	5.049	63033.166000003
BB	65	DARP3	5	5.036	63012.780000002
BB	70	DARP1	5	5.093	73654.660000004
BB	70	DARP2	5	5.019	73402.512000004
BB	70	DARP3	5	5.011	73446.016000003
BB	75	DARP1	5	5.021	nfs
BB	75	DARP2	5	5.048	73529.552000005
BB	75	DARP3	5	5.054	73357.106000003
CC	30	DARP1	5	5.004	31172.715
CC	30	DARP2	5	5.008	31188.362
CC	30	DARP3	5	5.021	31196.403
CC	35	DARP1	5	5.024	31454.93
CC	35	DARP2	5	5.004	31385.093
CC	35	DARP3	5	5.02	31304.82
CC	40	DARP1	5	5.024	31769.741
CC	40	DARP2	5	5.015	31477.424
CC	40	DARP3	5	5.007	31487.799
CC	45	DARP1	5	5.015	nfs
CC	45	DARP2	5	5.011	31645.218
CC	45	DARP3	5	5.011	31603.581
CC	50	DARP1	5	5.038	nfs
CC	50	DARP2	5	5.026	42071.601000001
CC	50	DARP3	5	5.021	41978.771
CC	55	DARP1	5	5.061	nfs
CC	55	DARP2	5	5.049	42326.985000001
CC	55	DARP3	5	5.005	42138.004
CC	60	DARP1	5	5.088	nfs
CC	60	DARP2	5	5.049	nfs
CC	60	DARP3	5	5.015	42391.613000001
CC	65	DARP1	5	5.011	52707.210000002
CC	65	DARP2	5	5.051	52586.858000002
CC	65	DARP3	5	5.016	52481.063000001
CC	70	DARP1	5	5.062	nfs
CC	70	DARP2	5	5.091	52807.027000002
CC	70	DARP3	5	5.027	52754.136000001
CC	75	DARP1	5	5.014	nfs
CC	75	DARP2	5	5.053	nfs
CC	75	DARP3	5	5.073	52927.123000001
DD	30	DARP1	5	5.004	21277.394
DD	30	DARP2	5	5.013	21180.712
DD	30	DARP3	5	5.013	21201.558
DD	35	DARP1	5	5.021	31345.826
DD	35	DARP2	5	5.004	31369.184
DD	35	DARP3	5	5.002	31309.37
DD	40	DARP1	5	5.014	31549.566
DD	40	DARP2	5	5.007	31552.616
DD	40	DARP3	5	5.016	31523.441
DD	45	DARP1	5	5.049	31969.738
DD	45	DARP2	5	5.013	31703.835
DD	45	DARP3	5	5.007	31692.647
DD	50	DARP1	5	5.05	nfs
DD	50	DARP2	5	5.029	31931.932
DD	50	DARP3	5	5.006	31795.444
DD	55	DARP1	5	5.022	42162.985000001
DD	55	DARP2	5	5.015	42045.641000001
DD	55	DARP3	5	5.001	42131.144000001
DD	60	DARP1	5	5.027	42266.852000001
DD	60	DARP2	5	5.024	42225.517000001
DD	60	DARP3	5	5.023	42218.094000001
DD	65	DARP1	5	5.09	nfs
DD	65	DARP2	5	5.056	42581.906000001
DD	65	DARP3	5	5.021	42580.993000001
DD	70	DARP1	5	5.002	52881.735
DD	70	DARP2	5	5.071	52752.162000002
DD	70	DARP3	5	5.021	52640.825000001
DD	75	DARP1	5	5.013	53093.599000003
DD	75	DARP2	5	5.027	53025.197000003
DD	75	DARP3	5	5.006	52807.435000002
